"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 31-Mar-2022","30 D % CHNG 
 01-Mar-2023"
"ADANIENT","1,788.00","1,825.00","1,740.00","1,740.40","1,742.10","1.70","0.10","4,893,249","8,675,730,477.00","4,190.00","1,017.45","-14.35","8.91"
"GLAND","1,270.00","1,289.35","1,250.00","1,257.80","1,259.00","1.20","0.10","415,704","526,343,619.60","3,559.40","1,130.00","-62.06","-1.34"
"SIEMENS","3,325.95","3,350.00","3,315.00","3,325.85","3,329.00","3.15","0.09","194,894","648,287,605.84","3,355.55","2,150.10","40.55","6.23"
"AIAENG","2,920.00","2,960.00","2,887.95","2,905.40","2,908.00","2.60","0.09","61,802","180,775,794.16","2,960.00","1,581.20","77.32","8.16"
"MARUTI","8,325.95","8,370.00","8,257.05","8,295.30","8,302.00","6.70","0.08","478,757","3,973,151,679.73","9,769.00","7,062.35","7.69","-3.00"
"ZYDUSLIFE","490.95","494.90","485.05","490.35","490.50","0.15","0.03","1,115,333","547,773,496.29","494.90","319.00","38.70","5.31"
"TITAN","2,526.95","2,536.75","2,500.00","2,515.05","2,514.90","-0.15","-0.01","848,456","2,133,162,621.52","2,791.00","1,825.05","-0.24","6.61"
"METROBRAND","787.70","809.95","782.05","787.70","787.50","-0.20","-0.03","203,357","162,624,592.90","980.85","505.10","31.08","-1.51"
"LTTS","3,380.00","3,399.55","3,342.65","3,357.30","3,355.00","-2.30","-0.07","220,687","746,069,920.29","5,295.00","2,924.20","-34.03","-8.65"
"BHEL","70.70","72.40","69.80","70.30","70.25","-0.05","-0.07","17,429,246","1,235,907,833.86","91.55","41.40","30.08","-6.35"
"BAJAJ-AUTO","3,875.65","3,907.85","3,860.00","3,879.30","3,876.00","-3.30","-0.09","248,433","965,403,185.01","4,131.75","3,460.00","3.87","4.56"
"ADANITRANS","1,018.30","1,044.00","974.20","1,003.45","1,002.55","-0.90","-0.09","1,096,793","1,106,740,912.51","4,236.75","631.50","-58.99","40.11"
"GAIL","105.75","107.00","104.85","105.50","105.40","-0.10","-0.09","15,641,500","1,651,429,570.00","115.67","83.00","-35.11","2.04"
"ABCAPITAL","153.25","155.25","152.30","153.10","152.90","-0.20","-0.13","3,103,897","476,758,579.20","162.45","85.60","37.22","0.82"
"AJANTPHARM","1,215.00","1,215.00","1,190.15","1,209.00","1,207.00","-2.00","-0.17","32,049","38,569,048.56","1,925.95","1,111.60","-31.94","3.27"
"CROMPTON","292.50","295.15","287.95","292.30","291.80","-0.50","-0.17","1,558,759","454,347,073.32","429.00","278.00","-21.43","-5.10"
"BAJFINANCE","5,694.00","5,694.00","5,586.20","5,625.20","5,615.00","-10.20","-0.18","1,267,828","7,124,496,054.60","7,778.00","5,220.00","-24.18","-7.66"
"UNIONBANK","66.80","67.30","65.35","66.40","66.25","-0.15","-0.23","11,553,787","766,709,305.32","96.40","33.50","61.92","-0.45"
"ASIANPAINT","2,756.05","2,775.00","2,747.50","2,770.50","2,764.00","-6.50","-0.23","1,967,803","5,432,789,234.52","3,582.90","2,560.00","-11.32","-2.55"
"JINDALSTEL","550.90","554.80","544.55","546.40","544.55","-1.85","-0.34","2,745,899","1,505,439,126.75","622.75","304.20","2.89","-5.26"
"TVSMOTOR","1,079.20","1,085.00","1,064.90","1,079.20","1,075.00","-4.20","-0.39","911,502","979,418,014.02","1,176.90","589.05","71.32","0.97"
"TORNTPHARM","1,542.00","1,557.90","1,523.40","1,539.50","1,533.50","-6.00","-0.39","190,791","294,005,115.18","1,750.00","1,242.08","-44.84","2.46"
"ZOMATO","51.25","51.70","50.65","51.25","51.05","-0.20","-0.39","56,566,133","2,888,832,412.31","88.70","40.60","-39.50","-6.51"
"ICICIGI","1,073.50","1,088.00","1,068.05","1,073.20","1,069.00","-4.20","-0.39","793,594","853,677,001.74","1,412.00","1,049.05","-20.70","-1.60"
"SONACOMS","418.00","424.50","412.00","414.75","413.00","-1.75","-0.42","1,387,772","580,685,437.96","700.00","398.05","-37.04","-8.76"
"AAVAS","1,612.95","1,645.00","1,598.50","1,606.40","1,598.90","-7.50","-0.47","272,641","439,979,866.57","2,634.95","1,589.70","-35.94","-12.28"
"ADANIGREEN","912.00","936.00","872.20","894.35","890.00","-4.35","-0.49","3,833,232","3,448,912,159.68","3,050.00","439.10","-54.70","64.70"
"BALKRISIND","1,974.80","1,990.95","1,949.20","1,964.75","1,955.00","-9.75","-0.50","267,682","525,192,084.00","2,450.00","1,796.30","-7.41","-5.03"
"EMAMILTD","360.85","364.55","355.05","360.35","358.50","-1.85","-0.51","406,249","145,177,142.64","524.00","340.55","-21.23","-7.26"
"FLUOROCHEM","3,045.00","3,061.55","2,997.10","3,017.55","3,002.00","-15.55","-0.52","43,099","130,474,033.69","4,173.95","2,112.25","-","-3.91"
"FORTIS","262.00","266.95","258.30","262.15","260.75","-1.40","-0.53","827,210","217,820,937.20","325.00","219.75","-8.52","-5.16"
"SUPREMEIND","2,525.30","2,585.70","2,480.00","2,525.30","2,511.55","-13.75","-0.54","125,574","315,811,075.56","2,855.30","1,666.25","23.25","-6.98"
"ASTRAL","1,354.95","1,364.40","1,332.25","1,342.70","1,335.00","-7.70","-0.57","407,833","547,740,110.65","1,991.15","1,186.19","-32.50","-29.88"
"PAGEIND","38,090.00","38,600.00","37,778.15","38,171.80","37,919.00","-252.80","-0.66","37,024","1,409,444,811.84","54,349.10","35,575.00","-12.15","1.30"
"ATUL","7,034.85","7,050.00","6,950.00","7,009.50","6,963.00","-46.50","-0.66","10,706","74,965,874.38","10,557.70","6,745.65","-29.49","-0.69"
"LUPIN","644.65","650.95","628.00","652.40","648.00","-4.40","-0.67","1,991,163","1,278,923,994.90","797.50","583.00","-15.30","-1.72"
"TIINDIA","2,583.55","2,585.00","2,526.05","2,570.65","2,553.00","-17.65","-0.69","489,701","1,255,818,626.46","3,046.20","1,457.60","57.69","-9.43"
"3MINDIA","23,095.95","23,284.40","22,800.00","23,095.00","22,930.00","-165.00","-0.71","2,677","61,723,722.85","25,209.00","17,273.00","14.98","-1.51"
"ADANIPORTS","643.90","655.40","627.35","636.65","631.95","-4.70","-0.74","9,466,910","6,046,326,078.80","987.85","395.10","-19.58","1.44"
"CUMMINSIND","1,645.00","1,657.80","1,626.25","1,639.85","1,627.30","-12.55","-0.77","559,036","914,817,691.12","1,706.95","947.10","43.36","2.11"
"NIACL","99.00","99.20","96.75","97.85","97.10","-0.75","-0.77","406,717","39,813,527.13","142.35","78.15","-14.95","-3.76"
"CRISIL","3,175.00","3,264.55","3,175.00","3,262.85","3,215.00","-24.85","-0.77","42,941","138,268,302.36","3,863.55","2,725.00","-2.49","-7.59"
"IDEA","5.90","5.95","5.70","5.90","5.85","-0.05","-0.85","114,439,391","668,326,043.44","11.55","5.70","-42.57","-16.55"
"ALKYLAMINE","2,185.00","2,203.75","2,150.00","2,172.25","2,153.00","-19.25","-0.89","40,576","88,159,880.96","3,455.60","2,146.10","-27.30","-14.23"
"PFIZER","3,502.00","3,502.05","3,451.30","3,502.60","3,469.00","-33.60","-0.96","13,126","45,677,036.14","4,660.00","3,408.00","-20.28","-8.41"
"SUNPHARMA","995.20","995.20","981.40","991.90","982.20","-9.70","-0.98","1,822,710","1,796,627,019.90","1,072.15","789.90","8.19","1.84"
"ABB","3,391.00","3,420.00","3,350.10","3,391.45","3,355.00","-36.45","-1.07","329,944","1,116,118,066.00","3,446.30","2,000.00","59.16","1.26"
"AUBANK","584.00","591.55","578.00","585.55","578.00","-7.55","-1.29","1,618,002","945,883,969.20","732.98","539.00","-55.02","-5.26"
"APOLLOHOSP","4,384.85","4,400.95","4,299.95","4,363.00","4,306.20","-56.80","-1.30","465,663","2,017,904,044.20","4,903.65","3,361.55","-4.35","-2.07"
"INDIANB","288.35","293.00","285.95","291.10","287.00","-4.10","-1.41","1,696,892","493,252,566.56","310.00","137.05","80.23","5.12"
"TORNTPOWER","530.30","530.30","506.50","530.25","522.45","-7.80","-1.47","753,861","388,743,501.87","610.00","415.25","1.57","-1.01"
"JKCEMENT","2,980.00","2,986.30","2,911.10","2,961.45","2,916.15","-45.30","-1.53","124,224","366,803,658.24","3,262.20","2,003.70","15.45","1.84"
"ZEEL","217.95","217.95","211.70","216.05","212.45","-3.60","-1.67","6,250,236","1,336,987,982.76","308.70","176.55","-29.20","8.24"
"LAURUSLABS","297.05","301.60","291.00","297.05","292.00","-5.05","-1.70","3,089,556","915,806,189.52","626.30","286.00","-50.90","-4.39"
"STARHEALTH","526.95","539.20","515.05","527.00","517.90","-9.10","-1.73","196,754","103,933,332.96","780.00","469.05","-30.21","-8.07"
"CGPOWER","307.60","307.60","297.55","305.05","299.50","-5.55","-1.82","2,761,619","829,894,125.69","338.60","155.00","59.30","-"
"GUJGASLTD","472.00","472.95","451.75","469.65","460.85","-8.80","-1.87","970,080","448,458,283.20","583.75","403.55","-7.17","-10.09"
"HINDZINC","298.00","298.00","292.30","299.00","293.00","-6.00","-2.01","1,891,210","558,682,346.10","383.00","242.05","-8.51","-6.13"
"VEDL","284.95","285.00","273.00","281.75","275.30","-6.45","-2.29","41,562,626","11,662,888,481.86","440.75","206.00","-32.37","-0.16"
"GICRE","136.85","138.35","132.85","136.25","133.00","-3.25","-2.39","515,633","69,569,204.36","204.00","105.00","14.04","-6.54"
"NYKAA","127.35","127.50","123.00","126.70","123.50","-3.20","-2.53","13,831,712","1,724,952,803.52","315.44","120.70","-92.67","-15.76"
"BANKINDIA","76.90","77.90","74.10","76.90","74.60","-2.30","-2.99","12,444,105","945,254,215.80","103.50","40.40","54.55","-1.32"
"MAXHEALTH","450.20","451.35","436.00","451.70","437.45","-14.25","-3.15","1,529,683","680,035,874.48","482.80","338.20","25.76","2.72"
"PHOENIXLTD","1,340.05","1,340.50","1,277.35","1,340.70","1,296.00","-44.70","-3.33","5,594,825","7,276,685,343.25","1,624.00","955.35","21.14","-6.53"
"NHPC","41.85","42.00","40.00","41.60","40.20","-1.40","-3.37","10,359,407","421,213,488.62","46.90","27.05","44.34","0.12"
"OIL","260.80","262.95","249.60","262.95","249.70","-13.25","-5.04","2,122,307","543,225,699.72","306.00","167.85","5.36","-2.29"
